Date,CAT,DIS,IBM,JNJ,JPM,KO,MMM,MSFT,PFE,PG,WMT,XOM
1995-01-01,5.970874786376953,12.279579162597656,8.441343307495117,6.789881229400635,5.378539562225342,5.937831401824951,8.953584671020508,2.256798267364502,2.2531983852386475,7.50198221206665,2.343662977218628,5.823244571685791
1995-02-01,5.9999308586120605,12.883004188537598,8.83669662475586,6.662646293640137,5.533689022064209,6.220585823059082,9.442160606384277,2.3945813179016113,2.302250385284424,7.6603779792785645,2.433311700820923,6.023345470428467
1995-03-01,6.450291156768799,12.913169860839844,9.64403247833252,6.985504150390625,5.266335964202881,6.401478290557861,10.024214744567871,2.7034080028533936,2.378528356552124,7.6315765380859375,2.6307032108306885,6.282668113708496
1995-04-01,6.829235553741455,13.387898445129395,11.111922264099121,7.631229400634766,5.824357509613037,6.600194454193115,10.282904624938965,3.107253313064575,2.402801036834717,8.090799331665039,2.4382128715515137,6.553777694702148
1995-05-01,7.033531188964844,13.418116569519043,10.950145721435547,7.802021026611328,6.434690952301025,6.99761962890625,10.427099227905273,3.2189087867736816,2.4590413570404053,8.322379112243652,2.55370831489563,6.8023200035095215
1995-06-01,7.500487804412842,13.418116569519043,11.303375244140625,7.964254856109619,6.591636657714844,7.265450954437256,9.970914840698242,3.4350855350494385,2.57065749168396,8.322379112243652,2.7516210079193115,6.730841159820557
1995-07-01,8.254621505737305,14.19687557220459,12.819314956665039,8.465703964233398,7.279000282287598,7.479137897491455,9.84057331085205,3.4398367404937744,2.825282573699951,8.021172523498535,2.738762140274048,6.909536361694336
1995-08-01,7.873416900634766,13.621734619140625,12.199745178222656,8.17966365814209,8.213113784790039,7.322439193725586,9.574263572692871,3.515855073928833,2.7695391178131104,8.079401016235352,2.5252249240875244,6.622222900390625
1995-09-01,6.671140193939209,13.894165992736816,11.15237045288086,8.787212371826172,8.583230972290039,7.890648365020752,9.88099193572998,3.4398367404937744,2.993905782699585,8.96740436553955,2.550992965698242,6.959354400634766
1995-10-01,6.702028751373291,13.97722339630127,11.476903915405273,9.66148567199707,8.085375785827637,8.219426155090332,9.968628883361816,3.800924301147461,3.2182726860046387,9.480649948120117,2.228898525238037,7.356685638427734
