ticker,shares_outstanding
JNJ,2407216971
PG,2328598978
KO,4302482418
XOM,4144947162
JPM,2679511418
MSFT,7428434704
IBM,939885280
CAT,460591983
MMM,521567261
WMT,7958079155
DIS,1736511424
PFE,5699444169
