Date,CAT,DIS,IBM,JNJ,JPM,KO,MMM,MSFT,PFE,PG,WMT,XOM
1995-02-01,0.004866300713825211,0.04914052981375061,0.04683535580287379,-0.01873890447590787,0.028846020010434792,0.04761913939611495,0.054567634452054925,0.0610524443099707,0.021769942836427525,0.021113855343077192,0.038251542339371225,0.03436244112356546
1995-03-01,0.07506091466209308,0.002341509158949595,0.09136172575110502,0.048457901338492704,-0.04831371202742407,0.029079651441867194,0.061644168368629515,0.12896896949918957,0.033131918124655435,-0.00375979374262414,0.08112051980154122,0.04305292541382033
1995-04-01,0.05874841736019931,0.03676313325120906,0.15220705540597712,0.09243788799524677,0.10596011139494754,0.031042230343631516,0.025806498260751765,0.1493837814288228,0.010204915243380963,0.060174040224495684,-0.07317067865606652,0.043151981942529005
1995-05-01,0.02991486142419908,0.002257122319346605,-0.014558825990553359,0.02238061746150044,0.10478983161329625,0.06021416148741654,0.014022750207815404,0.035933817574398175,0.0234061494661979,0.028622608358642276,0.04736889247517695,0.03792351837144037
1995-06-01,0.06639006821788507,0.0,0.03225797461431146,0.02079382110672867,0.024390558393126094,0.038274633337403774,-0.043749884530318695,0.06715839515677335,0.04539010062762472,0.0,0.07750011693554382,-0.010508009569100918
1995-07-01,0.10054462069530667,0.05803787727217968,0.13411389782093952,0.06296246380652959,0.10427814217706688,0.02941138057283199,-0.013072173609805282,0.0013831403602202474,0.09905056696183756,-0.03619236575055684,-0.004673197220204095,0.0265487177056698
1995-08-01,-0.04618074915216719,-0.0405117978345888,-0.04833095844331803,-0.03378813000074121,0.12832991705955443,-0.020951439312066555,-0.027062421034503847,0.022099401561757492,-0.01973022323704776,0.007259349249281399,-0.07796851469735755,-0.04158216213992927
1995-09-01,-0.15270075519545112,0.019999756360939758,-0.08585218052024801,0.0742755129154149,0.04506417385637884,0.07759834616066863,0.032036757783850955,-0.021621577635198452,0.08101227509060771,0.1099095523937701,0.010204256010988288,0.050909113950884155
1995-10-01,0.004630176631896354,0.0059778617592356476,0.029099953583462623,0.0994938170578441,-0.05800323771662086,0.04166676486650345,0.008869245942296322,0.10497229604037939,0.07494120376184443,0.0572345755426058,-0.12626237892116,0.05709311739559175
1995-11-01,0.08149725371576721,0.043384153075074705,-0.0039049704655136352,0.06721155936124301,0.05494536472720224,0.05699808544056495,0.15785499956232085,-0.12874966315883496,0.015311354356148721,0.06790168412569053,0.11209563534009837,0.02310804812624867
1995-12-01,-0.042769474504051885,-0.01930352333277985,-0.054334246624709315,-0.012987678451205076,-0.020833377590363966,-0.01980265077428589,0.015296331408781061,0.007173098002652978,0.08620714941518459,-0.04046323521446693,-0.07291655445075251,0.04846476638845676
