Date,SPY
1995-01-01,27.20193862915039
1995-02-01,28.312047958374023
1995-03-01,29.100467681884766
1995-04-01,29.962495803833008
1995-05-01,31.15120506286621
1995-06-01,31.78137969970703
1995-07-01,32.80364990234375
1995-08-01,32.94968032836914
1995-09-01,34.34596252441406
1995-10-01,34.24504089355469
1995-11-01,35.76825714111328
1995-12-01,36.33100128173828
1996-01-01,37.62359619140625
1996-02-01,37.74361801147461
1996-03-01,38.39348220825195
1996-04-01,38.81079864501953
1996-05-01,39.69182205200195
1996-06-01,40.041996002197266
1996-07-01,38.24266815185547
1996-08-01,38.979156494140625
1996-09-01,41.15702438354492
1996-10-01,42.487709045410156
1996-11-01,45.589439392089844
1996-12-01,44.5045280456543
1997-01-01,47.2542839050293
1997-02-01,47.7062873840332
1997-03-01,45.601402282714844
1997-04-01,48.45615768432617
1997-05-01,51.51897048950195
1997-06-01,53.63650894165039
1997-07-01,57.887969970703125
1997-08-01,54.8891716003418
1997-09-01,57.528846740722656
1997-10-01,56.11919021606445
1997-11-01,58.29077911376953
1997-12-01,59.402496337890625
1998-01-01,60.16754150390625
1998-02-01,64.33677673339844
1998-03-01,67.475341796875
1998-04-01,68.33847045898438
1998-05-01,66.91911315917969
1998-06-01,69.76811218261719
1998-07-01,68.82527160644531
1998-08-01,59.10857391357422
1998-09-01,62.870182037353516
1998-10-01,67.9677963256836
1998-11-01,71.75231170654297
1998-12-01,76.44654083251953
1999-01-01,79.13941192626953
1999-02-01,76.60150146484375
1999-03-01,79.77806091308594
1999-04-01,82.80756378173828
1999-05-01,80.91412353515625
1999-06-01,85.39500427246094
1999-07-01,82.74589538574219
1999-08-01,82.31734466552734
1999-09-01,80.47865295410156
1999-10-01,85.6355209350586
1999-11-01,87.06151580810547
1999-12-01,92.03351593017578
2000-01-01,87.4513931274414
2000-02-01,86.11985778808594
2000-03-01,94.46617889404297
2000-04-01,91.14844512939453
2000-05-01,89.7153091430664
2000-06-01,91.48110961914062
2000-07-01,90.04460144042969
2000-08-01,95.92822265625
2000-09-01,90.66535949707031
2000-10-01,90.24125671386719
2000-11-01,83.50447845458984
2000-12-01,83.06802368164062
2001-01-01,86.76119232177734
2001-02-01,78.48522186279297
2001-03-01,74.087158203125
2001-04-01,80.41718292236328
2001-05-01,79.96639251708984
2001-06-01,78.06085205078125
2001-07-01,77.26496124267578
2001-08-01,72.68061828613281
2001-09-01,66.74767303466797
2001-10-01,67.61687469482422
2001-11-01,72.88944244384766
2001-12-01,73.30043029785156
2002-01-01,72.58220672607422
2002-02-01,71.28038024902344
2002-03-01,73.65193176269531
2002-04-01,69.36864471435547
2002-05-01,68.95706176757812
2002-06-01,63.86747360229492
2002-07-01,58.8334846496582
2002-08-01,59.23362731933594
2002-09-01,53.022850036621094
2002-10-01,57.385738372802734
2002-11-01,60.92536926269531
2002-12-01,57.47882080078125
2003-01-01,56.06514358520508
2003-02-01,55.30945587158203
2003-03-01,55.42780685424805
2003-04-01,60.117652893066406
2003-05-01,63.41428756713867
2003-06-01,64.08973693847656
2003-07-01,65.24507141113281
2003-08-01,66.5908203125
2003-09-01,65.86456298828125
2003-10-01,69.39010620117188
2003-11-01,70.14791870117188
2003-12-01,73.67727661132812
2004-01-01,75.13388061523438
2004-02-01,76.15347290039062
2004-03-01,75.14476776123047
2004-04-01,73.72296905517578
2004-05-01,74.98534393310547
2004-06-01,76.3726577758789
2004-07-01,73.91205596923828
2004-08-01,74.09210205078125
2004-09-01,74.83575439453125
2004-10-01,75.79999542236328
2004-11-01,79.1744155883789
2004-12-01,81.55921936035156
2005-01-01,79.73057556152344
2005-02-01,81.39726257324219
2005-03-01,79.90830993652344
2005-04-01,78.41117095947266
2005-05-01,80.9379653930664
2005-06-01,81.06060028076172
2005-07-01,84.16207122802734
2005-08-01,83.37308502197266
2005-09-01,84.04219055175781
2005-10-01,82.0545425415039
2005-11-01,85.66104888916016
2005-12-01,85.49714660644531
2006-01-01,87.55023956298828
2006-02-01,88.05149841308594
2006-03-01,89.50474548339844
2006-04-01,90.6353530883789
2006-05-01,87.90531921386719
2006-06-01,88.13461303710938
2006-07-01,88.52928924560547
2006-08-01,90.46121215820312
2006-09-01,92.9037857055664
2006-10-01,95.831787109375
2006-11-01,97.73748016357422
2006-12-01,99.04432678222656
2007-01-01,100.5340347290039
2007-02-01,98.56178283691406
2007-03-01,99.70396423339844
2007-04-01,104.12043762207031
2007-05-01,107.6522216796875
2007-06-01,106.07829284667969
2007-07-01,102.7569808959961
2007-08-01,104.07560729980469
2007-09-01,108.10481262207031
2007-10-01,109.57142639160156
2007-11-01,105.32747650146484
2007-12-01,104.1413803100586
2008-01-01,97.8448715209961
2008-02-01,95.31634521484375
2008-03-01,94.4639663696289
2008-04-01,98.96636962890625
2008-05-01,100.46238708496094
2008-06-01,92.0661392211914
2008-07-01,91.23884582519531
2008-08-01,92.64881896972656
2008-09-01,83.92375183105469
2008-10-01,70.0606918334961
2008-11-01,65.18401336669922
2008-12-01,65.82257080078125
2009-01-01,60.41761016845703
2009-02-01,53.92575454711914
2009-03-01,58.41836166381836
2009-04-01,64.22200012207031
2009-05-01,67.97599029541016
2009-06-01,67.93147277832031
2009-07-01,72.99957275390625
2009-08-01,75.69612121582031
2009-09-01,78.380126953125
2009-10-01,76.87325286865234
2009-11-01,81.6091537475586
2009-12-01,83.16796112060547
2010-01-01,80.14543914794922
2010-02-01,82.64555358886719
2010-03-01,87.67698669433594
2010-04-01,89.03337860107422
2010-05-01,81.95926666259766
2010-06-01,77.71861267089844
2010-07-01,83.02685546875
2010-08-01,79.29224395751953
2010-09-01,86.39324188232422
2010-10-01,89.69363403320312
2010-11-01,89.69363403320312
2010-12-01,95.68987274169922
2011-01-01,97.91944122314453
2011-02-01,101.32090759277344
2011-03-01,101.3331069946289
2011-04-01,104.26781463623047
2011-05-01,103.09851837158203
2011-06-01,101.35929107666016
2011-07-01,99.33161926269531
2011-08-01,93.87081909179688
2011-09-01,87.35420989990234
2011-10-01,96.88871765136719
2011-11-01,96.49494171142578
2011-12-01,97.503173828125
2012-01-01,102.02484130859375
2012-02-01,106.45323944091797
2012-03-01,109.87722778320312
2012-04-01,109.14371490478516
2012-05-01,102.58901977539062
2012-06-01,106.75218963623047
2012-07-01,108.0150146484375
2012-08-01,110.72107696533203
2012-09-01,113.52793884277344
2012-10-01,111.46192932128906
2012-11-01,112.0927963256836
2012-12-01,113.09423828125
2013-01-01,118.88358306884766
2013-02-01,120.400390625
2013-03-01,124.97216033935547
2013-04-01,127.37320709228516
2013-05-01,130.3804473876953
2013-06-01,128.64047241210938
2013-07-01,135.28826904296875
2013-08-01,131.2306671142578
2013-09-01,135.38368225097656
2013-10-01,141.65281677246094
2013-11-01,145.85105895996094
2013-12-01,149.6324462890625
2014-01-01,144.35818481445312
2014-02-01,150.9287872314453
2014-03-01,152.1807861328125
2014-04-01,153.23867797851562
2014-05-01,156.79476928710938
2014-06-01,160.03182983398438
2014-07-01,157.8813934326172
2014-08-01,164.1119384765625
2014-09-01,161.8478240966797
2014-10-01,165.65943908691406
2014-11-01,170.21044921875
2014-12-01,169.77871704101562
2015-01-01,164.748291015625
2015-02-01,174.0078887939453
2015-03-01,171.27500915527344
2015-04-01,172.95928955078125
2015-05-01,175.18289184570312
2015-06-01,171.62451171875
2015-07-01,175.50144958496094
2015-08-01,164.80459594726562
2015-09-01,160.5994415283203
2015-10-01,174.25999450683594
2015-11-01,174.89694213867188
2015-12-01,171.87425231933594
2016-01-01,163.31719970703125
2016-02-01,163.18231201171875
2016-03-01,174.1589813232422
2016-04-01,174.8453369140625
2016-05-01,177.8197479248047
2016-06-01,178.4378204345703
2016-07-01,184.94569396972656
2016-08-01,185.1671905517578
2016-09-01,185.17791748046875
2016-10-01,181.9674835205078
2016-11-01,188.67083740234375
2016-12-01,192.4955596923828
2017-01-01,195.9402313232422
2017-02-01,203.63900756835938
2017-03-01,203.8935089111328
2017-04-01,205.91741943359375
2017-05-01,208.82351684570312
2017-06-01,210.1547393798828
2017-07-01,214.47427368164062
2017-08-01,215.10006713867188
2017-09-01,219.43421936035156
2017-10-01,224.60496520996094
2017-11-01,231.47015380859375
2017-12-01,234.27748107910156
2018-01-01,247.48121643066406
2018-02-01,238.48265075683594
2018-03-01,231.94570922851562
2018-04-01,233.14450073242188
2018-05-01,238.81198120117188
2018-06-01,240.1853790283203
2018-07-01,249.0834197998047
2018-08-01,257.0341491699219
2018-09-01,258.562255859375
2018-10-01,240.69454956054688
2018-11-01,245.15927124023438
2018-12-01,223.5733642578125
2019-01-01,241.4739227294922
2019-02-01,249.30148315429688
2019-03-01,253.81394958496094
2019-04-01,264.1828308105469
2019-05-01,247.33567810058594
2019-06-01,264.546875
2019-07-01,268.54669189453125
2019-08-01,264.05023193359375
2019-09-01,269.1881103515625
2019-10-01,275.1383972167969
2019-11-01,285.09796142578125
2019-12-01,293.381591796875
2020-01-01,293.2631530761719
2020-02-01,270.0467224121094
2020-03-01,236.3256378173828
2020-04-01,266.33514404296875
2020-05-01,279.0246887207031
2020-06-01,283.9730224609375
2020-07-01,300.6968688964844
2020-08-01,321.68450927734375
2020-09-01,309.63946533203125
2020-10-01,301.91900634765625
2020-11-01,334.7608642578125
