strategy,ann_return,realized_cvar_95
equal_weight,0.1091364950759175,0.08417678138039494
cap_weighted,0.09495946628884644,0.08919831330971861
min_variance,0.09295860824580049,0.07440002010643734
mean_variance,0.09382276841793913,0.09056565617346286
risk_parity,0.10434540541837989,0.07831529682494909
momentum,0.10239206970406278,0.07717575610736918
historical_cvar,0.10564164800734899,0.07598129062630064
regime_cvar_rho1.0,0.09997002188599513,0.07569039035889014
