,max_drawdown
equal_weight,-0.3564441000430386
cap_weighted,-0.348054615598826
min_variance,-0.28417920476906156
mean_variance,-0.4201354747437966
risk_parity,-0.3273591983784322
momentum,-0.3299666323615571
historical_cvar,-0.2749022021734696
regime_cvar_rho1.0,-0.29383784058159057
