,var_estimate
2000-03-01,0.03169977793706425
2000-04-01,0.05301455282713112
2000-05-01,0.06149651576185155
2000-06-01,0.06380229284358052
2000-07-01,0.05658759063369008
2000-08-01,0.04872098465765739
2000-09-01,0.04872097988731116
2000-10-01,0.04872097918043334
2000-11-01,0.04872097949469639
2000-12-01,0.048720979221843756
2001-01-01,0.05707425727745256
2001-02-01,0.06521836235257429
2001-03-01,0.05365777318647883
2001-04-01,0.06521836235429808
2001-05-01,0.06521836153163342
2001-06-01,0.056865081253289415
2001-07-01,0.05083529518418699
2001-08-01,0.05083529328205815
2001-09-01,0.05083529521973131
2001-10-01,0.05677722932884436
2001-11-01,0.06513051209105088
2001-12-01,0.06521836195657675
2002-01-01,0.05686508007573077
2002-02-01,0.056777229825982434
2002-03-01,0.056777229836800495
2002-04-01,0.056777230380397524
2002-05-01,0.056777231448521065
2002-06-01,0.05677722985666321
2002-07-01,0.05677722537765068
2002-08-01,0.0467140045410739
2002-09-01,0.06488913756360597
2002-10-01,0.05243968864474644
2002-11-01,0.06485482857072801
2002-12-01,0.06485482857668758
2003-01-01,0.05390654098079847
2003-02-01,0.06485482845336729
2003-03-01,0.06485482852756452
2003-04-01,0.06485482849805055
2003-05-01,0.05390654089178304
2003-06-01,0.05390654295974243
2003-07-01,0.06454799041350741
2003-08-01,0.06982510733155037
2003-09-01,0.05390660796171299
2003-10-01,0.050413281487287895
2003-11-01,0.049253930739832835
2003-12-01,0.04983686278547921
2004-01-01,0.0498368653951079
2004-02-01,0.04983686282434747
2004-03-01,0.04983686249023424
2004-04-01,0.04983686578280255
2004-05-01,0.04983686437720034
2004-06-01,0.05231207691827228
2004-07-01,0.04983684555798151
2004-08-01,0.05231207668055685
2004-09-01,0.05231207963495871
2004-10-01,0.05231207939638858
2004-11-01,0.05231207938630467
2004-12-01,0.04983686326026208
2005-01-01,0.049836863695656645
2005-02-01,0.04983686088325184
2005-03-01,0.04983686244207984
2005-04-01,0.0415219501448511
2005-05-01,0.03698348525238727
2005-06-01,0.038971583736629595
2005-07-01,0.04323249467034009
2005-08-01,0.044099591069306825
2005-09-01,0.04409959118860868
2005-10-01,0.0440995911821928
2005-11-01,0.04409959118193345
2005-12-01,0.04409959117759526
2006-01-01,0.044099591129673724
2006-02-01,0.04409959109025386
2006-03-01,0.04188522574795098
2006-04-01,0.03684505326716707
2006-05-01,0.028349272015048863
2006-06-01,0.026044755728275845
2006-07-01,0.02902664350990079
2006-08-01,0.026055998958456457
2006-09-01,0.026049498685135904
2006-10-01,0.024992701530016107
2006-11-01,0.02499269713314511
2006-12-01,0.02499269704526221
2007-01-01,0.024992696993981864
2007-02-01,0.024992698560823392
2007-03-01,0.02499269777497113
2007-04-01,0.028226810154282106
2007-05-01,0.02604950077843166
2007-06-01,0.026049500231610748
2007-07-01,0.026049500123202653
2007-08-01,0.02555566360621787
2007-09-01,0.025373382923307507
2007-10-01,0.02512673844882439
2007-11-01,0.02001137030766299
2007-12-01,0.01864756793038341
2008-01-01,0.01938243585726144
2008-02-01,0.018117563370330155
2008-03-01,0.018913641554753394
2008-04-01,0.01979985268053321
2008-05-01,0.01896978900882005
2008-06-01,0.01796885505836798
2008-07-01,0.017167790266672686
2008-08-01,0.01892437816479909
2008-09-01,0.02187478316745098
2008-10-01,0.021282888885764316
2008-11-01,0.02547201173777338
2008-12-01,0.033507220040108525
2009-01-01,0.02486611362694167
2009-02-01,0.02706035300862026
2009-03-01,0.04447472337289575
2009-04-01,0.054099511477704545
2009-05-01,0.05028110042491292
2009-06-01,0.04972707228469506
2009-07-01,0.04972707426812924
2009-08-01,0.05183242301561944
2009-09-01,0.050724669007401406
2009-10-01,0.047221343908378934
2009-11-01,0.04706400755933188
2009-12-01,0.050567342424288994
2010-01-01,0.047064008417390606
2010-02-01,0.047064006996229334
2010-03-01,0.044250460213343425
2010-04-01,0.04425041680489604
2010-05-01,0.04425041857614607
2010-06-01,0.041716893955067495
2010-07-01,0.04790581542853618
2010-08-01,0.047717016290726236
2010-09-01,0.04973242240867398
2010-10-01,0.05042313680738844
2010-11-01,0.04973241837050514
2010-12-01,0.049732423722346694
2011-01-01,0.04973242371638289
2011-02-01,0.049732423763955376
2011-03-01,0.04973242368875806
2011-04-01,0.049732423635264415
2011-05-01,0.04973242377513346
2011-06-01,0.04973242343080973
2011-07-01,0.049732421842251635
2011-08-01,0.04973242190273826
