,ann_return,ann_vol,sharpe,max_drawdown,avg_turnover
alpha=0.9,0.0958331608388987,0.12700587429376142,0.7545569161410518,-0.29800503397246036,0.07202168909265899
alpha=0.95,0.10564164800734899,0.12669397141919528,0.8338332662870754,-0.2749022021734702,0.065218609120078
alpha=0.99,0.10641774459532294,0.1315215173344951,0.8091280176206725,-0.28658482844782107,0.059248051210937396
lookback=36mo,0.10097679749908939,0.1435635963062291,0.7033593480320754,-0.3293779239895178,0.08824954000651687
lookback=60mo,0.10564164800734899,0.12669397141919528,0.8338332662870754,-0.2749022021734702,0.065218609120078
txn_cost=0bps,0.10607126186514781,0.12669276330505663,0.8372322072551577,-0.2742742150774191,0.065218609120078
txn_cost=5bps,0.10564164800734899,0.12669397141919528,0.8338332662870754,-0.2749022021734702,0.065218609120078
txn_cost=10bps,0.10521215222101543,0.12669542978826293,0.8304336817582847,-0.2755297072838612,0.065218609120078
txn_cost=20bps,0.1043535147580672,0.12669909725513565,0.8236326621012078,-0.27678327283923043,0.065218609120078
turnover_cap=0.1,0.10418557363629932,0.12765292402522735,0.8161628449318536,-0.287175582141393,0.05680463078470359
turnover_cap=0.2,0.10564164800734899,0.12669397141919528,0.8338332662870754,-0.2749022021734702,0.065218609120078
turnover_cap=0.3,0.10438228795506377,0.12612914429357774,0.827582622079033,-0.26465756696092335,0.06619316254670357
turnover_cap=uncapped,0.10216437390655475,0.12568389837577665,0.8128676403806164,-0.26250152632809437,0.06817243077122703
