,ann_return,ann_vol,sharpe,sortino,max_drawdown,avg_monthly_turnover
equal_weight,0.10913649507591772,0.13616449109140416,0.8015048137818607,1.1933882207518556,-0.3564441000430388,0.0031545741324921135
cap_weighted,0.09495946628884644,0.1514518195801496,0.6269945554440373,0.9651073731272944,-0.34805461559882644,0.03903502347747149
min_variance,0.09295860824580071,0.12090757479481692,0.7688402352255739,1.1550213807500709,-0.2841792047690615,0.09717257925410965
mean_variance,0.09382276841793935,0.1515389938151002,0.6191328453217585,0.9714973466327941,-0.420135474743797,0.20388463213443644
risk_parity,0.10434540541838011,0.12641822826926905,0.8253984164065792,1.2096701529361584,-0.32735919837843236,0.024553769569093997
momentum,0.10239206970406278,0.13630941647432368,0.7511738539600465,1.1882516640463734,-0.32996663236155727,0.2754994742376446
