,equal_weight,cap_weighted,min_variance,mean_variance,risk_parity,momentum
2000-03-01,0.058065465583006716,0.12794075880245603,0.010040663700089013,0.15936129049450143,0.04920583355052327,0.03067586620662057
2000-04-01,-0.013265886928992119,-0.1410734100628488,0.022857475629771976,-0.07641831982437405,-0.005617635153005797,-0.10280794084038232
2000-05-01,0.02816920883037346,-0.0009741123236839313,0.0440323528008358,-0.010602844513308276,0.032982973934917816,-0.009703149777852298
2000-06-01,0.007631075223002385,0.09698171496189865,-0.03154855771731209,0.0947640235010502,-0.0022094029341308947,-0.011687442461917169
2000-07-01,-0.0037184681953152327,-0.0658519159789783,0.0027025478577997622,-0.05661322753701293,-0.0013560650048927334,0.00842580467088143
2000-08-01,0.020388257780890914,-0.01856251954136223,0.02149625244603552,0.009007619371604455,0.020480992140804434,-0.013012139321074348
2000-09-01,-0.0292814385529567,-0.04333341854613169,0.023258973575402433,-0.05238628265781654,-0.014714627763258084,0.02126661234557003
2000-10-01,0.016775185598688874,0.02651230443985519,0.00010911752550425457,-0.026579181760276877,0.014125759648080282,-0.049018775499061536
2000-11-01,-0.00745789387725365,-0.03541294207751425,0.014640380254281339,0.006190336154398769,-0.0008177606068546093,0.017541245858792482
2000-12-01,0.035890395477571585,-0.048891851531216064,0.041597916261753604,-0.052671047615511245,0.036600992253822136,0.019924971177658825
2001-01-01,0.05283542041594516,0.11334836771631218,-0.0059978605092659894,0.1565784077793581,0.030693533171692097,-0.04046623961360505
2001-02-01,-0.04310553636498244,-0.05156150126555065,-0.024205036832256926,-0.06440310905129822,-0.03685293993382805,-0.01760392107672323
2001-03-01,-0.05627480431433281,-0.058722811423198656,-0.05247307289746252,-0.040815464747147534,-0.0553728202986556,-0.03883807344778053
2001-04-01,0.09353156626858364,0.11176558407868585,0.08359614980348301,0.11004733751262936,0.08972976628163597,0.09326518702741313
2001-05-01,0.020637380728582948,0.01085581553420664,0.012113809742441545,-0.003277024025794761,0.01946904597586507,0.026218700026774133
2001-06-01,-0.03211075839195916,-0.013064506257088073,-0.03309926358949649,-0.022555421785684288,-0.03137972445122178,-0.02509913521010196
2001-07-01,0.011624464702166135,-0.0038583398969115773,0.012736777556466636,0.008508928140829338,0.013170062950750893,-0.00660377489580715
2001-08-01,-0.04979624207732994,-0.09190894094238843,-0.04868875798046097,-0.08741618947687299,-0.04580567965757355,-0.03636801392012182
2001-09-01,-0.0566332884332702,-0.03202053452560105,-0.036277635133245764,-0.01567220902594522,-0.049489269213763135,-0.018995440984949662
2001-10-01,0.04966933090282298,0.06805132684977268,0.03468242284667602,0.07605689236240777,0.04378465099384849,0.02841833592301848
2001-11-01,0.05107389759772622,0.05905167089424713,0.04009309950920811,0.039337690402919026,0.044374344991410256,0.041515257583675
2001-12-01,0.021194855370031625,0.008782783330769435,0.01988459835699638,0.01043041495803088,0.022433877201766653,0.043329264246711276
2002-01-01,-0.021362403601410562,-0.005698814443224386,-0.00306812099704064,-0.007590020903693404,-0.01695612189366932,-0.03728388482966204
2002-02-01,0.018091872170730723,-0.016744126951254476,0.03597000809637144,-0.013110777946434041,0.027948392378414896,0.010588585493770146
2002-03-01,0.04774409933297778,0.026239039880604942,0.024020472939656572,0.019242645999075034,0.04259002647532179,0.025146127094093466
