,regime_cvar_rho1.0
2000-03-01,-0.012712035276307869
2000-04-01,0.0027932479211879983
2000-05-01,0.042057003814339876
2000-06-01,-0.05329280494945189
2000-07-01,0.0204361616855831
2000-08-01,0.02016578686745633
2000-09-01,-0.0053052928130352655
2000-10-01,-0.021578910235447016
2000-11-01,0.03594342225047688
2000-12-01,0.037298399369123596
2001-01-01,0.012801781018474654
2001-02-01,-0.036523251689227765
2001-03-01,-0.040668964158182386
2001-04-01,0.06481351044116239
2001-05-01,0.017767480387271037
2001-06-01,-0.02523238772378075
2001-07-01,0.0186031465116808
2001-08-01,-0.06544499190861534
2001-09-01,-0.028935480588637413
2001-10-01,0.055446055691948784
2001-11-01,0.045706809091372376
2001-12-01,0.03744622223653414
2002-01-01,-0.015876731497676287
2002-02-01,0.03282574095558369
2002-03-01,0.02939835007984783
2002-04-01,-0.042271733605408014
2002-05-01,-0.012793680724001938
2002-06-01,-0.013576981447472816
2002-07-01,-0.038547785330593345
2002-08-01,0.016790128174520583
2002-09-01,-0.08766251547987451
2002-10-01,0.08284825095410546
2002-11-01,0.00421361016147996
2002-12-01,-0.022671395788048124
2003-01-01,-0.010433152255199687
2003-02-01,-0.008140901403216454
2003-03-01,0.06174282119750245
2003-04-01,0.009808017864520232
2003-05-01,0.004685436102578854
2003-06-01,-0.006967747883741144
2003-07-01,0.026467045279005383
2003-08-01,0.027385764405837475
2003-09-01,-0.00898506550092979
2003-10-01,0.07166999966823458
2003-11-01,-0.013052828341388266
2003-12-01,0.0361346485427686
2004-01-01,-0.005899007389383392
2004-02-01,0.04500413965572276
2004-03-01,0.0029338698506431527
2004-04-01,0.006025001045069368
2004-05-01,0.004519787504598621
2004-06-01,0.019895880796655545
2004-07-01,-0.027269749181430037
2004-08-01,0.011527809717320122
2004-09-01,-0.001114394123157045
2004-10-01,0.0171571330468147
2004-11-01,0.027599748944462116
2004-12-01,0.025033011528860546
2005-01-01,0.0068295046857122154
2005-02-01,0.05265814735883248
2005-03-01,-0.009678092638270028
2005-04-01,-0.044223986908435216
2005-05-01,0.004655010983002691
2005-06-01,-0.01923234327304858
2005-07-01,0.02388363655196921
2005-08-01,-0.020037703329111548
2005-09-01,0.025366716039674476
2005-10-01,-0.023672354917457117
2005-11-01,0.028411423590947543
2005-12-01,-0.014886400629017875
2006-01-01,0.023304825123589445
2006-02-01,-0.001981035947108254
2006-03-01,0.012749521079215015
2006-04-01,0.018997879089418735
