,CAT,DIS,IBM,JNJ,JPM,KO,MMM,MSFT,PFE,PG,WMT,XOM
2000-03-01,0.22197397437097094,2.0673383704191676e-09,0.15656698330633162,4.821514043096937e-09,3.527412775876164e-09,3.9857141147369627e-10,0.07802602055477002,0.0032965062538328105,0.02765371427225802,0.23225376920790258,0.03022902350820751,0.2499999977108897
2000-04-01,0.1219739882922125,3.761427948851314e-09,0.15656698392758217,3.087000439376643e-09,4.649844618843157e-09,8.807533302751963e-10,0.17802600241322417,0.0032965065038113583,0.027653713812270518,0.23225376961435992,0.030229024857459996,0.24999999820005278
2000-05-01,0.021974001502411904,7.382672230847672e-09,0.15656698925057683,2.142738030257509e-09,8.94171627417381e-09,8.005757329314896e-10,0.24999999309992493,0.0032965061814633776,0.027653713305785126,0.23225377819582899,0.05825500044075776,0.24999999875554893
2000-06-01,3.031003335998048e-08,1.93635216874497e-09,0.10619472275352719,3.1630539857346927e-09,8.321349040894422e-10,6.34056891571696e-10,0.2499999962662673,0.0032965021665619827,6.278887752428243e-09,0.23225383075643602,0.15825490763390312,0.2499999972687852
2000-07-01,2.663340498782219e-10,0.01461066450871535,0.10619472311910022,3.6566328289320677e-10,3.5260646598595437e-09,1.8146993843060319e-10,0.24999999958644586,1.4686611505215914e-08,1.0328661076767224e-09,0.13555042245691976,0.2436441709507891,0.24999999931902
2000-08-01,2.7646027248674476e-10,0.008232802066178222,0.19983857981267403,3.502135153566705e-10,6.468193825743592e-09,1.5604466313699382e-10,0.24999999967739386,2.6573112714393885e-07,8.757322599914187e-10,0.04192834889071545,0.2499999962537527,0.24999999944151421
2000-09-01,9.05826454252087e-10,0.008228964351517086,0.19986787795285493,1.2599370327760544e-09,1.5345927233228057e-08,5.927839365197118e-10,0.24999999869973263,5.6982563465028605e-09,3.4162025330056093e-09,0.041903152286045506,0.2499999816079419,0.249999997882978
2000-10-01,6.13818893473438e-11,0.00822895699062295,0.19986790304392768,6.95874773527787e-11,1.859387495911887e-09,3.3416247425854795e-11,0.24999999991902713,1.4772056914361278e-09,1.631303349638139e-10,0.041903139289632636,0.24999999717865073,0.2499999999140298
2000-11-01,3.983677303082982e-10,0.00822895092975549,0.19986790837327803,6.48098555350771e-10,7.497331432922283e-10,1.1750021015441892e-10,0.24999999975125692,1.5045860078511784e-09,1.319225871206382e-09,0.041903141636618145,0.24999999476688467,0.249999999804694
2000-12-01,1.5845917809175065e-09,0.008228982981402086,0.1998678741203137,1.9304088832093807e-09,3.244762264120403e-08,8.379208267969595e-10,0.24999999825433444,1.6123763400245334e-09,4.765670939858665e-09,0.0419031267226738,0.249999977658432,0.24999999708425533
2001-01-01,5.615839439819557e-10,0.008228971990264542,0.11277375109296457,9.453935467994427e-10,5.134948031598533e-10,3.4773351591086585e-10,0.24999999816902232,6.441559761566697e-10,3.284471315441029e-09,0.14190309625038205,0.23709417732298424,0.2499999988775492
2001-02-01,1.2593737182236772e-09,1.224169161607055e-07,0.041569614204431386,5.960987056918048e-10,3.373864024093807e-10,1.384543915745616e-10,0.24999999940783402,8.824160742564237e-10,1.7120119624346974e-09,0.24159032754793802,0.21683993195221463,0.24999999954492452
2001-03-01,8.886985963399367e-10,0.045201562770596615,0.09636816908794803,3.5279142251998526e-10,4.82846043441382e-10,7.351514070707767e-11,0.24999999968663617,7.877332857027773e-10,1.7556581963836569e-09,0.1415903334742776,0.21683993088613573,0.24999999975316303
2001-04-01,1.7848343794043042e-09,8.986225277709967e-08,0.04156970772119094,2.4690673613708966e-09,7.882835616561304e-10,8.884332275223731e-10,0.24999999512671062,2.2968475742885726e-09,4.942871714942522e-09,0.2415902808452576,0.21683991650985357,0.2499999967643977
2001-05-01,9.9791453250117e-10,3.2304878810572573e-09,0.0415698156893594,3.5771263651403407e-10,2.205199165467944e-10,8.45469117441894e-11,0.24999999954853722,4.876649419705851e-10,8.598386635269032e-10,0.24159036196639397,0.2168398169170592,0.24999999963996436
2001-06-01,2.6822573497856674e-09,5.227882853282537e-09,0.12866393235676277,7.025550596995742e-10,9.576776484711314e-10,1.5355088149912956e-10,0.24999999939963144,2.4063638543269027e-09,1.5875183028061635e-09,0.14159037924719262,0.22974567586059533,0.24999999941801207
2001-07-01,3.2766984142917888e-09,0.07942404848498891,0.07870230357620633,3.982149269189666e-10,1.5173349251230971e-10,3.7341633556343756e-11,0.2499999998939854,0.0003216223501474849,6.993895852243922e-10,0.09155202938740893,0.24999999188251423,0.24999999986137073
2001-08-01,4.1512592171337727e-10,0.011732887412621035,0.17198589122674549,8.839118704881823e-10,3.6134291331998245e-10,1.310108849400149e-10,0.24999999968097672,1.5658170957620752e-09,1.6935195034946373e-09,0.06628122022299879,0.2499999967965894,0.24999999960934033
2001-09-01,8.417034353179171e-09,0.011732896924958242,0.171985876059432,1.4871790187835186e-09,1.2672478435141338e-09,2.4067155020112657e-10,0.24999999902895315,2.8492778777819764e-09,2.4210544367555834e-09,0.06628121741421178,0.24999999474876894,0.24999999914121018
2001-10-01,2.0568905223661664e-09,2.448305930805915e-09,0.1719858027229597,7.438136983142242e-10,6.109507445970564e-10,3.553253150973809e-10,0.24999999923810087,1.1143375309766007e-09,7.10012699703017e-10,0.16628119188421192,0.16173299884507403,0.24999999927001704
2001-11-01,9.85570993941625e-10,6.433955275366315e-10,0.0719858163784409,7.315527757762462e-10,1.5964524618425505e-10,1.4405982692652152e-10,0.24999999939274936,1.0483354092347338e-09,6.45531660856658e-10,0.206667231514896,0.22134694886729697,0.24999999948852528
2001-12-01,3.135930483892765e-10,3.758698023156324e-09,0.041569693922731216,9.266294260656278e-11,6.048407737121182e-11,2.263130244954606e-11,0.24999999989979316,1.4213279336338996e-10,2.506704656018096e-10,0.24159075148745143,0.21683955012474512,0.2499999999244065
2002-01-01,2.587324880188191e-09,3.5980806281767977e-09,0.12866360625484285,4.873374350164014e-10,8.155932259981241e-10,1.057316060313852e-10,0.24999999948082177,1.1427993847218294e-09,1.2523559489675603e-09,0.14159076007769264,0.22974562466086595,0.24999999953655377
2002-02-01,1.7449407620865034e-09,1.0363995351462471e-09,0.14500253255425513,1.4570607888968452e-09,7.92097404594705e-10,3.4916025108814704e-10,0.24999999895227668,1.1626630094051762e-08,1.2998509121560665e-09,0.18741732572833186,0.1675801254973006,0.24999999896169606
2002-03-01,3.559198048575924e-10,2.37073233292375e-10,0.17477099738137936,2.3251271332598574e-10,1.0980993816738484e-10,5.2252557796893953e-11,0.24999999985542726,7.915343690117955e-10,1.8922833826984982e-10,0.1809822440334513,0.14424675690202549,0.24999999985938573
2002-04-01,7.060976081783945e-09,3.679798908982309e-08,0.12957982298560994,3.9027890441272725e-09,3.9382427867139366e-09,1.1578848341561009e-09,0.2499999964333658,6.144596080783886e-09,7.22573773655657e-09,0.140538703794103,0.22988141371052428,0.24999999684818125
2002-05-01,1.090924853519039e-10,7.33738353800756e-10,0.12957991072294875,2.9302163096977074e-10,2.4346652906389163e-10,7.689949599243793e-11,0.24999999973229514,4.956703704333431e-10,3.76809033602716e-10,0.1405386809213714,0.229881406582835,0.24999999971185133
2002-06-01,9.890282721278168e-09,3.0901486500418534e-09,0.17477053896502992,2.040026836131636e-09,1.6831431762944469e-09,6.033444549237408e-10,0.24999999768094508,4.193553393790423e-09,2.080175541067306e-09,0.18098232301187583,0.1442471185936851,0.2499999981677895
2002-07-01,9.2523908711962e-11,2.4211200259090482e-11,0.17477100400363782,9.424657559648442e-11,4.305483524729532e-11,2.074160422903029e-11,0.24999999992226907,3.810331446232851e-10,6.798928186730056e-11,0.1809822424269441,0.14424675299007053,0.24999999993327804
2002-08-01,1.0668204745080953e-10,2.7826314380382682e-11,0.17477100711547724,1.1082281349679344e-10,4.9285512304763975e-11,2.5119096026394982e-11,0.2499999999119834,6.83892984285473e-11,7.961101874034856e-11,0.18098224125168272,0.14424675132880346,0.24999999992431707
2002-09-01,1.322752931513399e-10,5.604659491814009e-11,0.07477100864166306,1.1770003801800266e-10,2.2400916606221817e-11,2.0223352663329955e-11,0.24999999991069136,1.5325915790032154e-10,8.521694687247227e-11,0.20346932346898594,0.22175966746961778,0.24999999992191937
2002-10-01,1.0022904881201969e-10,5.21527380663607e-10,0.03186545850956083,8.062439986144558e-10,5.33053059948282e-11,1.0809119310570264e-10,0.249999999687785,0.010155802758290986,0.04331351469435621,0.24999999833816786,0.16466522462158512,0.24999999980085688
2002-11-01,6.775323133410184e-11,5.286458187817832e-10,5.711522012019148e-11,0.09406901388068652,9.82695298684105e-12,1.4617585741931043e-10,0.23533478807651056,4.6258376279076616e-10,1.6871117031230441e-10,0.24999999986495824,0.1705961985598434,0.24999999817718926
2002-12-01,5.083576194022233e-11,1.8117816988720864e-11,6.05724459684008e-11,0.09369145290224676,0.0,6.147893586306415e-11,0.23367629168472112,8.009140113285192e-11,9.667583984145616e-11,0.24999999986024773,0.17263225568314022,0.24999999950718402
2003-01-01,3.066782334796741e-11,0.06651013434812497,2.968340809343828e-11,0.0746002322826566,1.0636729201265369e-11,2.9176883618793e-11,0.15276752288459475,1.0250885320468073e-10,6.01506619151079e-11,0.24999999989819785,0.2061221104386725,0.24999999988492888
2003-02-01,5.708361579057019e-10,2.820490890156147e-08,5.261636720435806e-10,0.09369141660946857,1.271724749791917e-10,9.083948670689717e-10,0.23367625072378198,1.7134128283805578e-09,1.0796228802452717e-09,0.24999999923830574,0.1726323046353103,0.2499999956626216
2003-03-01,3.3257972319484756e-11,6.55756091625251e-12,3.645785407410667e-11,0.09369145297276155,0.0,4.304262441778442e-11,0.2336762915632273,1.3149165045890929e-11,5.892736416641747e-11,0.24999999989622243,0.17263225577029806,0.24999999961188032
2003-04-01,2.534144148047714e-11,5.042649282796124e-12,2.7057871429101475e-11,0.0936914531109961,0.0,3.284662739714441e-11,0.23367629143657184,0.0,4.1824077168618447e-11,0.24999999991595775,0.17263225573762003,0.24999999967560388
