,CAT,DIS,IBM,JNJ,JPM,KO,MMM,MSFT,PFE,PG,WMT,XOM
2000-03-01,0.22296625071147072,2.931747659647786e-10,0.1564061109745421,8.146970799714767e-10,2.8185533303566876e-10,7.614490914903532e-11,0.07703374839999376,2.60512216101252e-09,0.026876768601469026,0.234222814208532,0.03249430342118834,0.24999999961181166
2000-04-01,0.12296626326651659,1.1676728455828612e-09,0.1564061113790406,4.986621498171387e-10,1.1334514823083133e-09,1.2708287519132944e-10,0.17703373677047965,2.436648147077289e-09,0.026876764850517643,0.23422281459731545,0.03249430440280349,0.24999999936980463
2000-05-01,0.022966272198840877,1.1162896616227751e-09,0.15640611172660288,3.9586070881236326e-10,9.65781812798086e-10,1.248081246950323e-10,0.24999999647437585,2.458701968301252e-09,0.026876760885355903,0.234222814835668,0.059528039193545164,0.24999999962416902
2000-06-01,4.464682197490742e-08,1.052208112125321e-09,0.10624911616780823,1.3259116569639438e-09,5.433459612626098e-10,3.209583811082605e-10,0.24999999756051738,2.838331289624616e-09,4.191352938003918e-09,0.2342228179128712,0.15952801523048793,0.2499999982093849
2000-07-01,1.4751547679964922e-09,0.015191109707718406,0.10624924662765899,1.0528855357425366e-09,3.0704499361443656e-09,3.648454375820224e-10,0.24999999886621943,6.209291316687528e-09,2.748633820165291e-09,0.13422296190043562,0.2443366695245634,0.24999999845214338
2000-08-01,1.539272052624947e-09,0.008228953965792872,0.1998678477259786,1.696536138025772e-09,4.167537831000769e-09,6.313852700038422e-10,0.24999999809281503,3.51814444529317e-09,4.299820761949809e-09,0.04190320193878597,0.2499999843832591,0.249999998040672
2000-09-01,1.1119197544701714e-09,0.008228939422305626,0.19986792585328328,1.2974282424007095e-09,2.966066980605597e-09,4.849549206376897e-10,0.2499999985184157,1.3982907877490663e-09,3.4085279424934126e-09,0.041903150307047214,0.24999997683383596,0.24999999839792247
2000-10-01,3.5596506823959886e-11,0.008228954551433255,0.1998679061485165,4.15255932130447e-11,9.786847777038281e-11,1.619200869511764e-11,0.2499999999468996,1.458968264878239e-10,1.0708917052842327e-10,0.04190313944913445,0.24999999951072843,0.2499999999491193
2000-11-01,5.210488393297477e-10,0.008228949187913155,0.1998679112807916,6.85085390315413e-10,7.543475917913998e-10,1.2436450984978077e-10,0.2499999996848355,9.204035430364445e-10,1.2413774838944367e-09,0.04190314271662362,0.24999999313889074,0.24999999974431686
2000-12-01,6.375047922616247e-11,0.008228954503451714,0.19986790581165195,7.27770508929342e-11,1.7163172095133736e-10,2.8826855670558506e-11,0.24999999990224592,2.9430941124438197e-10,1.8643782519287255e-10,0.041903139873600115,0.24999999918055615,0.24999999991076088
2001-01-01,1.0452081406212076e-09,0.008228953163124882,0.11277382337877506,1.3382799047775297e-09,5.630829119963967e-10,3.7034866792301616e-10,0.24999999835433834,1.4026950165250164e-09,2.3171534245954254e-09,0.14190307296015303,0.23709414642579985,0.2499999986810409
2001-02-01,4.922721271048616e-10,1.2423954058035212e-07,0.04156961443502832,2.8390046078969646e-10,1.890974738374161e-10,7.046756956863158e-11,0.2499999997201112,4.803258967970682e-10,8.412727757885759e-10,0.24159032229985355,0.21683993717924555,0.2499999997688846
2001-03-01,9.330731312962519e-09,3.2544477714933434e-07,0.14156931497247627,2.1603594642685446e-09,3.312078321247073e-09,5.289825129223123e-10,0.24999999670398323,5.785248118157754e-09,5.4740732927787415e-09,0.14159039212641625,0.2168399470691068,0.24999999709176732
2001-04-01,1.8782260284240794e-09,1.1364942115048309e-07,0.041569629982347055,1.2367050158413208e-09,5.374874130041551e-10,2.643015689524413e-10,0.2499999988010427,2.143507868557635e-09,2.4296078990898883e-09,0.24159032681570847,0.216839923305657,0.24999999895599778
2001-05-01,4.8152180483899935e-09,1.8247651758426212e-07,0.04156950983029493,2.661990707964605e-09,1.732529704284982e-09,6.158955700603077e-10,0.2499999974289532,4.21264247394889e-09,7.112784589000049e-09,0.24159031014591123,0.21683998103163116,0.24999999793563088
2001-06-01,3.620738150097488e-09,1.8383438045507767e-07,0.1286636263424878,7.795941552855959e-10,1.037416394301894e-09,1.6015782863895433e-10,0.24999999934365622,3.0755359580850207e-09,2.5502043109706767e-09,0.14159033908851565,0.22974584080100455,0.24999999936630846
